School Name,State Name [Public School] Latest available year,Full-Time Equivalent (FTE) Teachers [Public School] 2012-13,Full-Time Equivalent (FTE) Teachers [Public School] 2011-12,Full-Time Equivalent (FTE) Teachers [Public School] 2010-11,Pupil/Teacher Ratio [Public School] 2012-13,Pupil/Teacher Ratio [Public School] 2011-12,Pupil/Teacher Ratio [Public School] 2010-11,School ID - NCES Assigned [Public School] Latest available year
ISLA VISTA ELEMENTARY,California,23,24,–,20.78,19.08,–,061551001972
ISLAND COMMUNITY DAY,California,1,1,–,2,2,–,061980012097
ISLAND ELEMENTARY,California,14,14,–,22.43,22.07,–,061851002268
ISLAND HIGH (CONTINUATION),California,12.2,11.3,–,15.74,15.31,–,060177000048
ISLETON ELEMENTARY,California,10,8,–,16.2,18.75,–,063311005124
IVANHOE ELEMENTARY,California,23,23,–,26.91,27.91,–,064116006797
IVANHOE ELEMENTARY,California,17,16,–,25.18,25.75,–,062271003103
IVEY RANCH ELEMENTARY,California,30.75,32.15,–,25.72,24.35,–,062825010311
IVY ACADEMIA,California,45,57.2,–,24.98,20.14,–,062271010845
IVY BOUND ACAD OF MATH SCI AND TECH CHARTER MIDD,California,10,10,–,23.1,23.1,–,062271011856
IVY HIGH (CONTINUATION),California,7.5,8,–,19.87,17.88,–,061353001546
IVYTECH CHARTER,California,4.65,5.3,–,18.49,16.23,–,062569012564
IZAAK WALTON INTERMEDIATE,California,21.81,23.82,–,30.81,29.76,–,061488000753
J. C. CRUMPTON ELEMENTARY,California,18,18,–,20.94,23.39,–,062553003820
J. C. MONTGOMERY,California,4,5,–,14,18.2,–,069101309227
J. E. HESTER ELEMENTARY,California,18.5,19.8,–,23.89,22.27,–,060003501548
J. E. VAN WIG ELEMENTARY,California,20,20,–,22.4,23.8,–,060411000378
J. E. YOUNG ACADEMIC CENTER,California,31.83,33.01,–,37.1,40.96,–,061455005749
J. EVERETT BARR COURT,California,2,2,–,7,6.5,–,069103809252
J. H. HULL MIDDLE,California,24.68,23.03,–,29.86,28.79,–,063942006560
J. H. MCGAUGH ELEMENTARY,California,37.08,35.08,–,21.52,22.41,–,062259008885
J. HALEY DURHAM ELEMENTARY,California,17.8,15,–,24.44,26.53,–,061440001662
J. MARION ROYNON ELEMENTARY,California,26.6,30.2,–,28.23,25.2,–,060561000510
J. W. OAKLEY ELEMENTARY,California,31,33,–,26.23,23.58,–,060579000522
J. X. WILSON ELEMENTARY,California,25.4,25.33,–,22.4,21.28,–,064320007015
J.P. WESTERN CHARTER HIGH,California,†,†,†,–,†,†,062610012913
JACK B. CLARKE HIGH,California,†,†,–,†,†,–,060005307510
JACK FRANSCIONI ELEMENTARY,California,22.9,21,–,25.2,24.1,–,063705011698
JACK G. DESMOND MIDDLE,California,35.27,35.15,–,22.97,25.01,–,062334010953
JACK L. WEAVER ELEMENTARY,California,25.5,26,–,26.98,26.08,–,062259006163
JACK LONDON COMMUNITY DAY,California,5,3.51,–,17.2,19.94,–,062271012188
JACK LONDON CONTINUATION,California,4,4.5,–,31.75,28.22,–,062271003146
JACK LONDON ELEMENTARY,California,14,15.1,–,25.79,24.37,–,063045011180
JACK LONDON ELEMENTARY,California,20,23.8,–,26.55,24.16,–,060285000156
JACK NORTHROP ELEMENTARY,California,21.9,20,–,28.77,31.3,–,062088009561
JACK NORTON ELEMENTARY,California,2,2,–,15,11,–,061995002391
JACKSON ACADEMY OF MUSIC AND MATH (JAMM),California,19,13,–,29.58,29.46,–,062583003876
JACKSON AVENUE ELEMENTARY,California,28.45,24.8,–,19.89,22.22,–,062211002627
JACKSON ELEMENTARY,California,18.5,18.55,–,24.49,22.86,–,063231004983
JACKSON ELEMENTARY,California,31.15,32.15,–,27,25.57,–,063315005145
JACKSON ELEMENTARY,California,16,16,–,25.94,27.25,–,060245008789
JACKSON ELEMENTARY,California,16.01,18,–,26.98,25.17,–,061455001741
JACKSON ELEMENTARY,California,17,18.2,–,23.12,21.65,–,063525005971
JACKSON ELEMENTARY,California,13,13,–,24.31,23.54,–,062994004673
JACKSON HEIGHTS ELEMENTARY,California,22,24,–,24.95,21.88,–,063198004921
JACKSON JUNIOR HIGH,California,12.3,13.58,–,21.54,20.25,–,060245009300
JACKSON STREET ELEMENTARY,California,27,22.6,–,18.93,18.19,–,064338007026
JACOB WIENS ELEMENTARY,California,31,32.5,–,23.68,24.74,–,061692010349
JACOBSEN MIDDLE,California,39.72,42.91,–,24.47,23.93,–,063888006528
JACOBY CREEK CHARTER,California,18,18,–,23.72,24.61,–,061866002271
JACUMBA ELEMENTARY,California,†,3,–,–,14.33,–,062610003903
JACUMBA MIDDLE,California,3,†,†,19.33,†,†,062610013049
JAIME ESCALANTE ELEMENTARY,California,27.5,25,–,24,24.88,–,062271012719
JAMACHA ELEMENTARY,California,20,19.5,–,24,22.97,–,060681001165
JAMES A. GARFIELD SENIOR HIGH,California,109.99,129.8,–,22.44,19.53,–,062271003037
JAMES A. GRAHAM ELEMENTARY,California,20.34,19.35,–,22.22,23.57,–,062706004081
JAMES A. MCKEE ELEMENTARY,California,20.4,21,–,24.71,25.95,–,061233001407
JAMES A. WHITAKER ELEMENTARY,California,24,25,–,27.46,26.52,–,060636000560
JAMES A. WIEDEN HIGH,California,†,†,–,†,†,–,060005007487
JAMES B. DAVIDSON MIDDLE,California,43.95,41.4,–,21.68,21.76,–,063509005936
JAMES C. ENOCHS HIGH,California,90.59,92.59,–,27.33,26.7,–,062515011812
JAMES DOUGHERTY ELEMENTARY,California,29.4,29.5,–,25.82,24.17,–,060001908443
JAMES DUKES ELEMENTARY,California,20.2,23.7,–,25.4,23.71,–,063171008943
JAMES E. POTTER INTERMEDIATE,California,41.54,38,–,21.43,23.42,–,061350001540
JAMES EARL CARTER ELEMENTARY,California,26,27,–,25.69,24,–,061111006219
JAMES FLOOD ELEMENTARY,California,†,†,–,†,†,–,063186009426
JAMES FOSTER ELEMENTARY,California,23,24,–,28.57,25.33,–,063597009637
JAMES FRANKLIN SMITH ELEMENTARY,California,32,33.21,–,25.38,24.03,–,061314008631
JAMES GARFIELD ELEMENTARY,California,11.1,11.3,–,24.32,23.98,–,063627006183
JAMES IRVINE INTERMEDIATE,California,27.63,29.35,–,30.55,27.43,–,061488001852
JAMES J. MCBRIDE SPECIAL EDUCATION CENTER,California,20,19.02,–,7.05,7.62,–,062271007760
JAMES JORDAN MIDDLE,California,12,11.45,–,22.17,22.27,–,062271010893
JAMES K. POLK ELEMENTARY,California,28.59,28.59,–,29.31,26.83,–,060797010786
JAMES L. BUNKER ELEMENTARY,California,23.4,22.1,–,24.36,25.93,–,062706004079
JAMES L. DAY MIDDLE,California,37.71,40.3,–,24.93,24.64,–,060002808272
JAMES LEITCH ELEMENTARY,California,34.4,31.5,–,30.52,25.05,–,061440001673
JAMES LICK HIGH,California,64.57,63.32,–,21.14,22.36,–,061182001303
JAMES LOGAN HIGH,California,152.2,158.64,–,25.85,26.05,–,062691004072
JAMES M. BURCHFIELD PRIMARY,California,18.9,20.5,–,23.97,20.68,–,060957000968
JAMES MADISON ELEMENTARY,California,21,24,–,29.38,26.88,–,062334006019
JAMES MADISON ELEMENTARY,California,20.5,22,–,26.54,25.64,–,061111009785
JAMES MADISON MIDDLE,California,55.75,65.53,–,28.43,24.39,–,062271003156
JAMES MARSHALL ELEMENTARY,California,32.06,39,–,24.98,20,–,062513003743
JAMES MARSHALL ELEMENTARY,California,15,13.5,–,25.93,28.74,–,063384005251
JAMES MCENTEE ACADEMY,California,14.17,15,–,22.16,23.27,–,060231012086
JAMES MONROE ELEMENTARY,California,24.33,24.9,–,17.88,18.27,–,063581006126
JAMES MONROE ELEMENTARY,California,23,23,–,25.22,25.04,–,061111009786
JAMES MONROE ELEMENTARY,California,28,29,–,29.86,27.59,–,062334003551
JAMES MONROE ELEMENTARY,California,12,15,–,23.08,19.73,–,061488001863
JAMES MONROE HIGH,California,98.35,100.05,–,26.19,25.12,–,062271003193
JAMES MONROE MIDDLE,California,22.87,23.09,–,21.6,21.44,–,063680006235
JAMES R. COWAN FUNDAMENTAL ELEMENTARY,California,17.53,17.9,–,29.95,28.44,–,063462005766
JAMES RUTTER MIDDLE,California,47.44,42.3,–,17.83,20.69,–,061233001412
JAMES S. FUGMAN ELEMENTARY,California,26,27,–,29.31,26.7,–,060903010771
JAMES URBANI INSTITUTE OF LANGUAGE DEVELOPMENT,California,†,†,–,†,†,–,063801012069
JAMES WORKMAN MIDDLE,California,56.5,55,–,26.51,27.53,–,062955004981
JAMESTOWN COMMUNITY DAY,California,–,–,–,–,–,–,061869007472
JAMESTOWN ELEMENTARY,California,16.85,18.85,–,19.94,18.14,–,061869002272
JAMISON (DONALD C.) HIGH (CONTINUATION),California,7.55,8.97,–,15.5,17.5,–,062140002562
JAMUL INTERMEDIATE,California,5,6.63,–,23.4,23.53,–,061873003937
JAMUL PRIMARY,California,9.33,12.53,–,24.12,20.35,–,061873002273
JAN WORK COMMUNITY,California,1,1,–,15,15,–,069105206046
JANE ADDAMS CONTINUATION,California,6.5,7.5,–,33.85,27.73,–,062271002801
JANE ADDAMS MIDDLE,California,38,37,–,23.47,24.38,–,062121011612
JANE FREDERICK HIGH,California,12.33,14.67,–,21.33,18.75,–,063801009446
JANE LATHROP STANFORD MIDDLE,California,62.21,63.3,–,16.14,15.85,–,062961004598
JANESVILLE ELEMENTARY,California,14,14,–,25.5,26.07,–,061878002275
JANIE P. ABBOTT ELEMENTARY,California,25,26,–,28.4,28.54,–,062316003531
JARDIN DE LA INFANCIA,California,†,3,–,†,16.67,–,062271010853
JARDIN DE LA INFANCIA,California,–,†,†,–,†,†,069107810853
JARVIS CAMP,California,16.5,12.5,–,4.3,6.24,–,069107812682
JASPER ELEMENTARY,California,20,22.5,–,26.3,25.42,–,060216000096
JEAN CALLISON ELEMENTARY,California,35.43,35,–,26.81,27.86,–,064059010123
JEANE THORMAN ELEMENTARY,California,21,22,–,32.48,32.05,–,064015006646
JEANNE R. MEADOWS ELEMENTARY,California,22,26,–,24.82,25.69,–,061437009827
JEFFERSON,California,19.4,20.5,–,22.32,21.9,–,061884002277
JEFFERSON,California,20.5,23.5,–,28.44,23.87,–,061668002095
JEFFERSON (THOMAS) ELEMENTARY,California,24.8,23.6,–,22.9,23.9,–,060261000154
JEFFERSON ELEMENTARY,California,17.5,22,–,26.91,22.82,–,062994004674
JEFFERSON ELEMENTARY,California,16.5,17,–,28.85,29.41,–,062985008516
JEFFERSON ELEMENTARY,California,33.5,36,–,26.75,24.44,–,063531005991
JEFFERSON ELEMENTARY,California,39,39.8,–,21.1,20.45,–,062142002565
JEFFERSON ELEMENTARY,California,19.5,18,–,29.74,31.78,–,060962000983
JEFFERSON ELEMENTARY,California,23,25,–,27.91,26.64,–,060003204956
JEFFERSON ELEMENTARY,California,17,18.2,–,22.47,21.04,–,063525005972
JEFFERSON ELEMENTARY,California,15,13.8,–,25.93,26.74,–,061970002368
JEFFERSON ELEMENTARY,California,–,–,–,–,–,–,061647002079
JEFFERSON ELEMENTARY,California,20,20,–,22.95,25.55,–,061455001742
JEFFERSON ELEMENTARY,California,21,22,–,28.19,25.64,–,060903000911
JEFFERSON ELEMENTARY,California,22,16.25,–,29,27.38,–,060690000637
JEFFERSON ELEMENTARY,California,10,9,–,23.7,26.89,–,063870008993
JEFFERSON ELEMENTARY,California,28.2,28.58,–,19.93,20.33,–,060363000306
JEFFERSON ELEMENTARY,California,30,30.75,–,21.53,19.19,–,060006501238
JEFFERSON ELEMENTARY,California,20,23,–,22.85,21.7,–,062187002594
JEFFERSON ELEMENTARY,California,21,19.6,–,26.95,27.5,–,060897000900
JEFFERSON ELEMENTARY,California,1.8,1.8,–,10,10,–,061881002276
JEFFERSON ELEMENTARY,California,22,23,–,23.18,21.78,–,063441005631
JEFFERSON ELEMENTARY,California,32.7,33.4,–,28.23,26.71,–,063315005146
JEFFERSON ELEMENTARY,California,32,36,–,24,21.72,–,060985001057
JEFFERSON ELEMENTARY,California,20.95,19.82,–,22.86,24.37,–,060003601108
JEFFERSON ELEMENTARY,California,19,19.2,–,17.42,17.14,–,063432005485
JEFFERSON ELEMENTARY,California,20.2,24,–,28.96,29.46,–,060750000710
JEFFERSON ELEMENTARY,California,13.78,13.38,–,24.31,24.59,–,060474000441
JEFFERSON ELEMENTARY,California,26.61,26.03,–,22.77,22.28,–,063468005834
JEFFERSON HIGH,California,50.1,54.3,–,23.29,21.75,–,061893002293
JEFFERSON HIGH (CONTINUATION),California,2.71,3.2,–,11.44,8.75,–,063694001734
JEFFERSON LEADERSHIP ACADEMIES,California,41.55,42.2,–,21.2,21.66,–,062250002727
JEFFERSON MIDDLE,California,47.81,45.3,–,25.77,27.09,–,063442500557
JEFFERSON MIDDLE,California,20.66,20,–,29.24,30.9,–,063942002213
JEFFERSON MIDDLE,California,36.43,47.23,–,23.47,22.15,–,062825004361
JEFFREY TRAIL MIDDLE,California,–,†,†,–,†,†,068450013238
JELLICK ELEMENTARY,California,20.8,21.8,–,22.79,22.8,–,063375005203
JENNY LIND ELEMENTARY,California,22.75,24.14,–,24.84,24.23,–,060687009522
JENNY LIND HIGH,California,1,1,–,18,13,–,060687005719
JENSEN RANCH ELEMENTARY,California,17.42,18.42,–,23.59,22.48,–,060780004339
JERABEK ELEMENTARY,California,30.25,30.4,–,22.08,21.32,–,063432005486
JERRY D. HOLLAND MIDDLE,California,27,26.65,–,20,21.24,–,060369000333
JERRY VOORHIS ELEMENTARY,California,17,17,–,28.71,30.18,–,062619003915
JERSEY AVENUE ELEMENTARY,California,16.61,19,–,28.84,25.68,–,062193002601
JESSE G. SANCHEZ ELEMENTARY,California,26,25.5,–,28,30.2,–,060195000085
JESSE M. BETHEL HIGH,California,78.73,87.23,–,24.03,22.89,–,064074007861
JESSIE BAKER,California,13,14,–,12.77,11.29,–,061233007698
JESSIE BENTON FREMONT COMMUNITY DAY,California,–,†,†,–,†,†,062394012770
JESSIE BENTON FREMONT COMMUNITY DAY,California,†,1,–,†,3,–,069109012770
JESSIE HAYDEN ELEMENTARY,California,35,34,–,25.26,24.68,–,064215002349
JESSIE NELSON ACADEMY,California,28.43,24.13,–,26.73,25.98,–,062250002708
JEWEL CITY COMMUNITY DAY,California,1,2.2,–,1,4.09,–,061524008019
JILL KINMONT BOOTHE,California,1,1,–,7,8,–,069101100411
JIM MAPLES ACADEMY,California,20.55,22.65,–,27.01,28.17,–,060657010701
JIM THORPE FUNDAMENTAL,California,35.5,37.5,–,30.23,27.68,–,063531008248
JOAN MACQUEEN MIDDLE,California,29,29.47,–,23.62,23.89,–,060210000092
JOAQUIN MILLER CAREER AND TRANSITION CENTER,California,21.5,19.03,–,10.56,11.77,–,062271003107
JOAQUIN MILLER ELEMENTARY,California,23,24,–,31.48,29.75,–,060645000574
JOAQUIN MILLER ELEMENTARY,California,16,16,–,26.31,24.75,–,062805004280
JOAQUIN MILLER MIDDLE,California,56.9,54.77,–,23.53,23.83,–,061029001142
JOAQUIN MORAGA INTERMEDIATE,California,35.3,34.36,–,18.22,18.51,–,062574003851
JOE BACA,California,34,32.67,–,24.88,23.72,–,060939000945
JOE HAMILTON ELEMENTARY,California,18.5,19.5,–,15.3,15.28,–,061077001194
JOE HENDERSON ELEMENTARY,California,19,21,–,26.79,26.29,–,060462009116
JOE MICHELL,California,23.64,21.64,–,19.5,21.58,–,062211002628
JOE NIGHTINGALE ELEMENTARY,California,29.95,28.55,–,24.51,25.71,–,062871004464
JOE SERNA JR. CHARTER,California,17.29,15.95,–,17.76,19.18,–,062223008617
JOE STEFANI,California,21,20,–,24.76,25.65,–,062460011688
JOE WALKER MIDDLE,California,34.1,31.1,–,26.01,27.33,–,064212006890
JOEL J. HIDAHL ELEMENTARY,California,19,18,–,25.37,26.11,–,060813011490
JOHANNA BOSS HIGH,California,†,–,–,†,–,–,060005707737
JOHANNA BOSS HIGH,California,–,†,†,–,†,†,060142207737
JOHANNA ECHOLS-HANSEN HIGH (CONTINUATION),California,1.63,1,–,16.56,27,–,060897000901
JOHN A. OTIS ELEMENTARY,California,21,22,–,21.19,20.64,–,062667004049
JOHN A. ROWLAND HIGH,California,86.87,86.67,–,27.31,27.73,–,063375005204
JOHN A. SUTTER MIDDLE,California,51.25,54.69,–,25.31,25.31,–,062271003382
JOHN ADAMS ACADEMY,California,26.85,23.67,†,24.54,23.62,†,062256012569
JOHN ADAMS ELEMENTARY,California,18.49,17.05,–,23.26,23.93,–,063942006549
JOHN ADAMS ELEMENTARY,California,28,30,–,29.75,27.7,–,062334003543
JOHN ADAMS ELEMENTARY,California,29.5,33.5,–,26.75,22.33,–,060985001045
JOHN ADAMS ELEMENTARY,California,18.4,18.4,–,24.57,23.86,–,061111006220
JOHN ADAMS MIDDLE,California,46.31,46.1,–,21.46,22.86,–,063570006085
JOHN ADAMS MIDDLE,California,53.5,61,–,19.07,17.72,–,062271002800
JOHN AND JACQUELYN MILLER ELEMENTARY,California,24,24,–,29.04,29.42,–,062088012421
JOHN B. ALLARD,California,22.4,20.1,–,24.64,26.72,–,069104111486
JOHN B. MONLUX ELEMENTARY,California,31,31,–,23.87,24.74,–,062271003191
JOHN B. RIEBLI ELEMENTARY,California,21.9,22.9,–,21.1,20.74,–,062400001766
JOHN BALDWIN ELEMENTARY,California,24.9,23.6,–,21.73,22.67,–,063513005949
JOHN BARRETT MIDDLE,California,36,35.9,–,21.86,24.43,–,063462005755
JOHN BIDWELL ELEMENTARY,California,13,14,–,29.92,24.86,–,063384005254
JOHN BLACOW ELEMENTARY,California,25.5,28.5,–,19.57,18.98,–,061440001656
JOHN BURROUGHS MIDDLE,California,69.33,76.51,–,28.08,25.79,–,062271002875
JOHN C MARTINEZ ELEMENTARY,California,16,18,–,29.13,27.33,–,062991004656
JOHN C. FREMONT CHARTER,California,20,20,–,23.55,24.7,–,062460003691
JOHN C. FREMONT ELEMENTARY,California,20,19,–,26.7,26.95,–,060969001036
JOHN C. FREMONT ELEMENTARY,California,27.5,27,–,25.89,26.41,–,061524001929
JOHN C. FREMONT ELEMENTARY,California,25.67,31.75,–,36.03,27.78,–,063801011782
JOHN C. FREMONT SENIOR HIGH,California,104.5,150.24,–,24.15,23.22,–,062271003023
JOHN C. KIMBALL HIGH,California,83.46,75.46,–,25.4,25.99,–,060004712372
JOHN CABRILLO ELEMENTARY,California,15,14.4,–,24.93,28.13,–,063384005255
JOHN D. SLOAT ELEMENTARY,California,11,12.35,–,28.18,25.18,–,063384005256
JOHN DOLLAND ELEMENTARY,California,26,27,–,23.58,26.74,–,062769004158
JOHN E. STEINBECK ELEMENTARY,California,23,24,–,28.3,28.29,–,060195009694
JOHN EHRHARDT ELEMENTARY,California,34,33.39,–,26.32,26.18,–,061233010293
JOHN F. CRUIKSHANK JR.,California,12,10,–,10.17,15.9,–,069103107355
JOHN F. KENNEDY ELEMENTARY,California,17.5,20,–,26.63,21.65,–,060006511536
JOHN F. KENNEDY ELEMENTARY,California,24.5,23.25,–,20.2,22.02,–,061887002287
JOHN F. KENNEDY ELEMENTARY,California,20,21,–,27.65,26,–,061111001229
JOHN F. KENNEDY ELEMENTARY,California,15.34,15.53,–,24.45,25.5,–,062706004082
JOHN F. KENNEDY ELEMENTARY,California,29,34,–,28.24,23.5,–,063531009440
JOHN F. KENNEDY ELEMENTARY,California,41.05,40.35,–,28.11,26.47,–,063315010585
JOHN F. KENNEDY HIGH,California,89.83,97.58,–,25.43,25.56,–,062271003108
JOHN F. KENNEDY HIGH,California,85.25,79.01,–,27.24,30.69,–,060263000177
JOHN F. KENNEDY HIGH,California,24,25,–,24.92,24.96,–,060985011712
JOHN F. KENNEDY HIGH,California,61.59,64.1,–,23.02,21.65,–,061440001672
JOHN F. KENNEDY HIGH,California,81.4,63.3,–,25.07,33.3,–,063384005257
JOHN F. KENNEDY JUNIOR HIGH,California,26.68,25.68,–,21.03,21.03,–,061647003154
JOHN F. KENNEDY MIDDLE,California,37.3,37.6,–,21.39,21.38,–,063213004970
JOHN F. KENNEDY MIDDLE,California,58.6,57.6,–,23.46,23.37,–,061029001138
JOHN F. LAND,California,–,–,–,–,–,–,064215012589
JOHN FINNEY HIGH (CONTINUATION),California,8.8,10.25,–,16.48,16.29,–,064074006734
JOHN FOSTER DULLES ELEMENTARY,California,9,12,–,26.67,22.25,–,062769004159
JOHN FREMONT ELEMENTARY,California,23.8,25.8,–,22.82,21.05,–,062513003735
JOHN G. MATTOS ELEMENTARY,California,25.2,23.2,–,21.63,22.93,–,061440001675
JOHN GILL ELEMENTARY,California,20.6,19,–,23.5,24.47,–,063213004969
JOHN GLENN MIDDLE SCHOOL OF INTERNATIONAL STUDIES,California,45.41,46,–,28.06,28.13,–,061111008765
JOHN GOMES ELEMENTARY,California,31,29,–,23.39,26.83,–,061440001664
JOHN GREEN ELEMENTARY,California,30.36,30.86,–,25.66,23.43,–,060001912078
JOHN H. EADER ELEMENTARY,California,24,22,–,26.33,29,–,061803002216
JOHN H. FRANCIS POLYTECHNIC,California,110.49,117.21,–,26.89,25.51,–,062271003020
JOHN H. GLENN HIGH,California,74.59,78.21,–,23.25,24.04,–,062769004168
JOHN H. LIECHTY MIDDLE,California,62.27,72.51,–,19.98,18.07,–,062271012144
JOHN H. NUFFER ELEMENTARY,California,19,20,–,23.37,22.3,–,062769004182
JOHN H. PITMAN HIGH,California,91.48,93.71,–,23.71,23.25,–,060015811503
JOHN H. STILL,California,33.4,27,–,28.32,28,–,063384005259
JOHN HOPE CONTINUATION,California,3.5,3.01,–,33.14,25.91,–,062271003093
JOHN J. CAIRNS CONTINUATION,California,4,4,–,27.5,20.5,–,062187005524
JOHN J. DOYLE ELEMENTARY,California,23,27.48,–,29.91,26.49,–,060006404871
JOHN J. MONTGOMERY ELEMENTARY,California,25,27.71,–,25.56,23.93,–,061314001495
JOHN J. PERSHING ELEMENTARY,California,32,33,–,27.16,26.64,–,062334011926
JOHN KELLEY ELEMENTARY,California,30.1,30.75,–,19.93,20.13,–,060907000922
JOHN L. GOLDEN ELEMENTARY,California,32,32,–,27.19,27.53,–,061296010361
JOHN L. PRUEITT ELEMENTARY,California,25.75,21,–,27.15,28.29,–,064140000417
JOHN M. HORNER JUNIOR HIGH,California,40.2,42.4,–,25.2,23.04,–,061440001670
JOHN MALCOM ELEMENTARY,California,23.33,24.68,–,30.3,28.12,–,060744003383
JOHN MARSHALL ELEMENTARY,California,22,21,–,24.59,24.57,–,061488001860
JOHN MARSHALL ELEMENTARY,California,18.33,22.5,–,32.41,26.09,–,063801011778
JOHN MARSHALL ELEMENTARY,California,24,24,–,23.13,22.54,–,061524001939
JOHN MARSHALL SENIOR HIGH,California,99.84,106.1,–,26.88,27.27,–,062271003171
JOHN MORSE THERAPEUTIC CENTER,California,7,3.8,–,8.29,14.47,–,063384011917
JOHN MUIR,California,20.61,20.81,–,16.59,17.83,–,063432005487
JOHN MUIR ELEMENTARY,California,13,12,–,20,20.58,–,060474008119
JOHN MUIR ELEMENTARY,California,9.86,11.56,–,30.73,31.06,–,063423005397
JOHN MUIR ELEMENTARY,California,24.03,21.77,–,23.72,22.65,–,061029001144
JOHN MUIR ELEMENTARY,California,14,15.2,–,27.64,26.71,–,062403009579
JOHN MUIR ELEMENTARY,California,27.53,27.53,–,24.56,24.34,–,062223003998
JOHN MUIR ELEMENTARY,California,33,33.6,–,25.76,24.85,–,061524001942
JOHN MUIR ELEMENTARY,California,14,12,–,21,26,–,063570006097
JOHN MUIR ELEMENTARY,California,25,24,–,20.12,20.21,–,062460003692
JOHN MUIR ELEMENTARY,California,22,24.5,–,22.64,19.55,–,062513003745
JOHN MUIR FUNDAMENTAL ELEMENTARY,California,38,38.5,–,27.21,24.65,–,063531006002
JOHN MUIR HIGH,California,57.95,58.4,–,19.19,18.32,–,062994004681
JOHN MUIR MIDDLE,California,60.84,65.02,–,19.2,19.58,–,062271003204
JOHN MUIR MIDDLE,California,51.2,55.3,–,25.92,24.38,–,060645000576
JOHN MUIR MIDDLE,California,28.67,30.5,–,23.75,22.75,–,060969001037
JOHN MUIR MIDDLE,California,55.46,50.62,–,21.24,22.68,–,063459005723
JOHN MUIR MIDDLE,California,45.9,45.5,–,21.29,22.13,–,063468005839
JOHN MURDY ELEMENTARY,California,16,18,–,26.94,25.78,–,061488001865
JOHN O. TYNES ELEMENTARY,California,31.9,26.58,–,24.45,26.6,–,063066004764
JOHN R. PETERSON ELEMENTARY,California,24,21,–,26.17,30.57,–,061803007190
JOHN R. WILLIAMS,California,20,21,–,29.05,27.1,–,062169002577
JOHN R. WOODEN HIGH,California,1,2,–,139,67,–,062271002806
JOHN REED PRIMARY,California,20,16.4,–,22.35,27.68,–,060994001079
JOHN REITH ELEMENTARY,California,27.6,29,–,23.84,22.24,–,061233009535
JOHN S. WASH ELEMENTARY,California,20.4,20.54,–,23.04,22.25,–,063525005973
JOHN SINNOTT ELEMENTARY,California,27,26,–,26.56,27.46,–,062450003674
JOHN STALLINGS ELEMENTARY,California,26,30,–,22.42,21.33,–,060985001066
JOHN STEINBECK ELEMENTARY,California,29.5,27.5,–,26.85,27.02,–,060797004485
JOHN SUTTER MIDDLE,California,21.65,21.89,–,25.64,24.39,–,061425007496
JOHN SWETT ELEMENTARY,California,17,14,–,26.06,28.5,–,062403003614
JOHN SWETT HIGH,California,23.8,25.5,–,19.92,18.82,–,061899002302
JOHN VIERRA HIGH,California,0.99,0.70,–,27.27,25.71,–,060594006991
JOHN W. MACK ELEMENTARY,California,18,18,–,22.28,22.22,–,062271010882
JOHN W. NORTH HIGH,California,89.85,92.65,–,26.39,26.54,–,063315005154
JOHNNIE COCHRAN JR. MIDDLE,California,54.01,58.01,–,19.11,19.93,–,062271003202
JOHNSON ELEMENTARY,California,23,27,–,19.74,18.33,–,063432005488
JOHNSON ELEMENTARY,California,26,27,–,24.73,23.56,–,060681000617
JOHNSON MIDDLE,California,34.01,36,–,22.23,21.56,–,064215006908
JOHNSON PARK ELEMENTARY,California,14.8,15.3,–,24.05,21.96,–,062409003628
JOHNSONDALE ELEMENTARY,California,1,1,–,3,5,–,061764009858
JOHNSTON COOPER ELEMENTARY,California,20.6,27.3,–,27.77,19.27,–,064074006720
JOHNSTONVILLE ELEMENTARY,California,10,9.67,–,22.6,20.58,–,061905002304
JOLI ANN LEICHTAG ELEMENTARY,California,29.5,31.5,–,28.78,27.08,–,063488012201
JONAS E. SALK ELEMENTARY,California,34,35.05,–,24.26,24.28,–,062343003563
JONAS SALK HIGH-TECH ACADEMY,California,†,†,–,†,†,–,063462005816
JONATA MIDDLE,California,11.34,11.99,–,18.52,18.1,–,060633000551
JONES ELEMENTARY,California,18.8,19,–,18.99,18.42,–,063432005489
JORDAN (JUNE) SCHOOL FOR EQUITY,California,17.71,16.89,–,14.06,14.92,–,063441011252
JORDAN ELEMENTARY,California,15.2,17.2,–,26.97,26.28,–,062301003507
JORDAN ELEMENTARY,California,16,17,–,28.13,25.76,–,062865004433
JORDAN HIGH,California,139.46,143.04,–,25.84,25.09,–,062250002728
JORDAN SECONDARY LEARNING CENTER,California,5,4.86,–,10,9.67,–,061488002338
JOSE SEPULVEDA ELEMENTARY,California,16.5,18,–,26.61,23.72,–,063531008979
JOSEPH A. GASCON ELEMENTARY,California,32,35.5,–,30.56,28.65,–,062547003794
JOSEPH A. GREGORI HIGH,California,74.85,55.94,–,25.74,25.74,–,062515012556
JOSEPH ARNOLD ELEMENTARY,California,27.75,25.57,–,24.5,25.15,–,063942006552
JOSEPH AZEVADA ELEMENTARY,California,21.5,20.7,–,23.21,22.71,–,061440001655
JOSEPH BONNHEIM ELEMENTARY,California,15,13.6,–,27.33,30.15,–,063384005261
JOSEPH GEORGE MIDDLE,California,35.17,35.2,–,18.25,17.7,–,060231000105
