School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,School Name [Public School] 2012-13,School ID - NCES Assigned [Public School] Latest available year,Agency Name [Public School] 2012-13,Agency ID - NCES Assigned [Public School] Latest available year,County Name [Public School] 2012-13,County Number [Public School] 2012-13,Race/Ethnicity Category [Public School] 2012-13,ANSI/FIPS State Code [Public School] Latest available year,Years School Reported Data [Public School] Latest available year,Years School Did Not Report Data [Public School] Latest available year,Location City [Public School] 2014-15,Location State Abbr [Public School] 2014-15,Location ZIP [Public School] 2014-15,Location Address 1 [Public School] 2014-15,School Type [Public School] 2012-13,Agency Type [District] 2012-13,Start of Year Status [Public School] 2012-13,Charter School [Public School] 2012-13
GENERAL GRANT MIDDLE,California,CA ,GENERAL GRANT MIDDLE,061970002366,KINGS CANYON JOINT UNF,0619700,FRESNO COUNTY,06019,Reported 7 categories,06,1986-2014,,REEDLEY,CA ,93654,360 N. E. AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GENERAL SHAFTER ELEMENTARY,California,CA ,GENERAL SHAFTER ELEMENTARY,061500001903,GENERAL SHAFTER ELEM,0615000,KERN COUNTY,06029,Reported 7 categories,06,1986-2014,,BAKERSFIELD,CA ,93313,1825 SHAFTER RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GENEVIEVE DIDION,California,CA ,GENEVIEVE DIDION,063384005244,SACRAMENTO CITY UNF,0633840,SACRAMENTO COUNTY,06067,Reported 7 categories,06,1986-2014,,SACRAMENTO,CA ,95831,6490 HARMON DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GENEVIEVE M. CROSBY ELEMENTARY,California,CA ,GENEVIEVE M. CROSBY ELEMENTARY,061488001835,GARDEN GROVE UNF,0614880,ORANGE COUNTY,06059,Reported 7 categories,06,1986-2014,,GARDEN GROVE,CA ,92840,12181 W. ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGE A. BULJAN MIDDLE,California,CA ,GEORGE A. BULJAN MIDDLE,063360003508,ROSEVILLE CITY ELEM,0633600,PLACER COUNTY,06061,Reported 7 categories,06,1994-2014,1986-1993,ROSEVILLE,CA ,95678,100 HALLISSY DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGE AND EVELYN STEIN CONTINUATION,California,CA ,GEORGE AND EVELYN STEIN CONTINUATION,060004712105,TRACY JOINT UNF,0600047,SAN JOAQUIN COUNTY,06077,Reported 7 categories,06,2007-2014,1986-2006,TRACY,CA ,95376,650 W. 10TH ST.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGE B. MILLER ELEMENTARY,California,CA ,GEORGE B. MILLER ELEMENTARY,060807000779,CENTRALIA ELEM,0608070,ORANGE COUNTY,06059,Reported 7 categories,06,1986-2014,,LA PALMA,CA ,90623,7751 FURMAN RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGE C. MARSHALL ELEMENTARY,California,CA ,GEORGE C. MARSHALL ELEMENTARY,062553003837,MONTEREY PENINSULA UNF,0625530,MONTEREY COUNTY,06053,Reported 7 categories,06,1986-2014,,SEASIDE,CA ,93955,300 NORMANDY RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGE C. PAYNE ELEMENTARY,California,CA ,GEORGE C. PAYNE ELEMENTARY,062577003856,MORELAND ELEM,0625770,SANTA CLARA COUNTY,06085,Reported 7 categories,06,1986-2014,,SAN JOSE,CA ,95130,3750 GLEASON AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGE CIRBY ELEMENTARY,California,CA ,GEORGE CIRBY ELEMENTARY,063360005183,ROSEVILLE CITY ELEM,0633600,PLACER COUNTY,06061,Reported 7 categories,06,1986-2014,,ROSEVILLE,CA ,95678,814 DARLING WAY,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGE DE LA TORRE JR. ELEMENTARY,California,CA ,GEORGE DE LA TORRE JR. ELEMENTARY,062271011644,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,2006-2014,1986-2005,WILMINGTON,CA ,90744,500 N. ISLAND AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGE EISENHUT ELEMENTARY,California,CA ,GEORGE EISENHUT ELEMENTARY,063795006394,STANISLAUS UNION ELEM,0637950,STANISLAUS COUNTY,06099,Reported 7 categories,06,1986-2014,,MODESTO,CA ,95350,1809 SHELDON DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGE ELLERY HALE CHARTER ACADEMY,California,CA ,GEORGE ELLERY HALE CHARTER ACADEMY,062271003062,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,WOODLAND HILLS,CA ,91367,23830 CALIFA ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,1-Yes
GEORGE H. FLAMSON MIDDLE,California,CA ,GEORGE H. FLAMSON MIDDLE,060004807409,PASO ROBLES JOINT UNF,0600048,SAN LUIS OBISPO COUNTY,06079,Reported 7 categories,06,1997-2014,1986-1996,PASO ROBLES,CA ,93446,655 24TH ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGE HALL ELEMENTARY,California,CA ,GEORGE HALL ELEMENTARY,063492005906,SAN MATEO-FOSTER CITY,0634920,SAN MATEO COUNTY,06081,Reported 7 categories,06,1986-2014,,SAN MATEO,CA ,94403,130 SAN MIGUEL WAY,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGE K. PORTER MIDDLE,California,CA ,GEORGE K. PORTER MIDDLE,062271003287,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,GRANADA HILLS,CA ,91344,15960 KINGSBURY ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGE KELLY ELEMENTARY,California,CA ,GEORGE KELLY ELEMENTARY,060004711784,TRACY JOINT UNF,0600047,SAN JOAQUIN COUNTY,06077,Reported 7 categories,06,2005-2014,1986-2004,TRACY,CA ,95377,535 MABEL JOSEPHINE DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGE KEY,California,CA ,GEORGE KEY,063066004760,PLACENTIA-YORBA LINDA UNF,0630660,ORANGE COUNTY,06059,Reported 7 categories,06,1986-2014,,PLACENTIA,CA ,92870,710 E. GOLDEN AVE.,2-Special education school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGE L. SNOWDEN ELEMENTARY,California,CA ,GEORGE L. SNOWDEN ELEMENTARY,060003501549,FARMERSVILLE UNF,0600035,TULARE COUNTY,06107,Reported 7 categories,06,1993-2014,1986-1992,FARMERSVILLE,CA ,93223,301 S. FARMERSVILLE BLVD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGE LINCOLN MOSHER,California,CA ,GEORGE LINCOLN MOSHER,062223011774,LODI UNF,0622230,SAN JOAQUIN COUNTY,06077,Reported 7 categories,06,2006-2014,1986-2005,STOCKTON,CA ,95212,3220 BUDDY HOLLY DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGE MAYNE ELEMENTARY,California,CA ,GEORGE MAYNE ELEMENTARY,063543006043,SANTA CLARA UNF,0635430,SANTA CLARA COUNTY,06085,Reported 7 categories,06,1986-2014,,ALVISO,CA ,95002,5030 N. FIRST ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGE MCPARLAND ELEMENTARY,California,CA ,GEORGE MCPARLAND ELEMENTARY,062361009398,MANTECA UNF,0623610,SAN JOAQUIN COUNTY,06077,Reported 7 categories,06,1988-2014,1986-1987,MANTECA,CA ,95336,1601 N.GATE DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGE NICOLOFF ELEMENTARY,California,CA ,GEORGE NICOLOFF ELEMENTARY,063738006322,SOUTH BAY UNION ELEM,0637380,SAN DIEGO COUNTY,06073,Reported 7 categories,06,1986-2014,,SAN YSIDRO,CA ,92173,1777 HOWARD AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGE S. PATTON CONTINUATION,California,CA ,GEORGE S. PATTON CONTINUATION,062271003276,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,HARBOR CITY,CA ,90710,24514 S. W.ERN AVE.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGE SARGEANT ELEMENTARY,California,CA ,GEORGE SARGEANT ELEMENTARY,063360008955,ROSEVILLE CITY ELEM,0633600,PLACER COUNTY,06061,Reported 7 categories,06,1986-2014,,ROSEVILLE,CA ,95661,1200 RIDGECREST WAY,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGE T. EGLING MIDDLE,California,CA ,GEORGE T. EGLING MIDDLE,060957000967,COLUSA UNF,0609570,COLUSA COUNTY,06011,Reported 7 categories,06,1986-2014,,COLUSA,CA ,95932,813 WEBSTER ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGE V. LEYVA INTERMEDIATE,California,CA ,GEORGE V. LEYVA INTERMEDIATE,061314001493,EVERGREEN ELEM,0613140,SANTA CLARA COUNTY,06085,Reported 7 categories,06,1986-2014,,SAN JOSE,CA ,95122,1865 MONROVIA DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGE VISUAL AND PERFORMING ARTS MAGNET AND MIDDL,California,CA ,GEORGE VISUAL AND PERFORMING ARTS MAGNET AND MIDDL,060171011089,ADELANTO ELEM,0601710,SAN BERNARDINO COUNTY,06071,Reported 7 categories,06,2004-2014,1986-2003,ADELANTO,CA ,92301,10650 BARTLETT AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGE W. BUSH ELEMENTARY,California,CA ,GEORGE W. BUSH ELEMENTARY,063801011302,STOCKTON UNF,0638010,SAN JOAQUIN COUNTY,06077,Reported 7 categories,06,2003-2014,1986-2002,STOCKTON,CA ,95212,5420 FRED RUSSO DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGE WASHINGTON CARVER ELEMENTARY,California,CA ,GEORGE WASHINGTON CARVER ELEMENTARY,063531000757,SANTA ANA UNF,0635310,ORANGE COUNTY,06059,Reported 7 categories,06,1992-2014,1986-1991,SANTA ANA,CA ,92703,1401 W. SANTA ANA BLVD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGE WASHINGTON CARVER MIDDLE,California,CA ,GEORGE WASHINGTON CARVER MIDDLE,062271002902,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,LOS ANGELES,CA ,90011,4410 MCKINLEY AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGE WASHINGTON CARVER SCHOOL OF ARTS AND SCIENC,California,CA ,GEORGE WASHINGTON CARVER SCHOOL OF ARTS AND SCIENC,063384011195,SACRAMENTO CITY UNF,0633840,SACRAMENTO COUNTY,06067,Reported 7 categories,06,2003-2014,1986-2002,SACRAMENTO,CA ,95827,10101 SYSTEMS PKWY.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,1-Yes
GEORGE WASHINGTON CHARTER,California,CA ,GEORGE WASHINGTON CHARTER,061111001234,DESERT SANDS UNF,0611110,RIVERSIDE COUNTY,06065,Reported 7 categories,06,1986-2014,,PALM DESERT,CA ,92260,45-768 PORTOLA AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,1-Yes
GEORGE WASHINGTON ELEMENTARY,California,CA ,GEORGE WASHINGTON ELEMENTARY,062334003556,MADERA UNF,0623340,MADERA COUNTY,06039,Reported 7 categories,06,1986-2014,,MADERA,CA ,93638,509 S. ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGE WASHINGTON ELEMENTARY,California,CA ,GEORGE WASHINGTON ELEMENTARY,062223002647,LODI UNF,0622230,SAN JOAQUIN COUNTY,06077,Reported 7 categories,06,1986-2014,,LODI,CA ,95240,831 W. LOCKEFORD ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGE WASHINGTON ELEMENTARY,California,CA ,GEORGE WASHINGTON ELEMENTARY,060985001069,CORONA-NORCO UNF,0609850,RIVERSIDE COUNTY,06065,Reported 7 categories,06,1986-2014,,NORCO,CA ,92860,1220 W. PARKRIDGE AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGE WASHINGTON ELEMENTARY,California,CA ,GEORGE WASHINGTON ELEMENTARY,060645000580,BURBANK UNF,0606450,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,BURBANK,CA ,91504,2322 N. LINCOLN ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGE WASHINGTON ELEMENTARY,California,CA ,GEORGE WASHINGTON ELEMENTARY,061647009844,HANFORD ELEM,0616470,KINGS COUNTY,06031,Reported 7 categories,06,1990-2014,1986-1989,HANFORD,CA ,93232,2245 N. FAIRMONT,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGE WASHINGTON ELEMENTARY,California,CA ,GEORGE WASHINGTON ELEMENTARY,063627006190,SELMA UNF,0636270,FRESNO COUNTY,06019,Reported 7 categories,06,1986-2014,,SELMA,CA ,93662,1420 SECOND ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGE WASHINGTON ELEMENTARY,California,CA ,GEORGE WASHINGTON ELEMENTARY,063801009447,STOCKTON UNF,0638010,SAN JOAQUIN COUNTY,06077,Reported 7 categories,06,1988-2014,1986-1987,STOCKTON,CA ,95203,1735 W. SONORA,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGE WASHINGTON ELEMENTARY,California,CA ,GEORGE WASHINGTON ELEMENTARY,061887002286,JEFFERSON ELEM,0618870,SAN MATEO COUNTY,06081,Reported 7 categories,06,1986-2014,,DALY CITY,CA ,94014,251 WHITTIER ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGE WASHINGTON PREPARATORY HIGH,California,CA ,GEORGE WASHINGTON PREPARATORY HIGH,062271003444,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,LOS ANGELES,CA ,90047,10860 S. DENKER AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGE WHITE ELEMENTARY,California,CA ,GEORGE WHITE ELEMENTARY,060744009523,CAPISTRANO UNF,0607440,ORANGE COUNTY,06059,Reported 7 categories,06,1989-2014,1986-1988,LAGUNA NIGUEL,CA ,92677,25422 CHAPPAROSA PARK DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGE Y. KOMURE ELEMENTARY,California,CA ,GEORGE Y. KOMURE ELEMENTARY,062361010653,MANTECA UNF,0623610,SAN JOAQUIN COUNTY,06077,Reported 7 categories,06,2002-2014,1986-2001,STOCKTON,CA ,95206,2121 HENRY LONG BLVD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGETOWN ELEMENTARY,California,CA ,GEORGETOWN ELEMENTARY,060524000494,BLACK OAK MINE UNF,0605240,EL DORADO COUNTY,06017,Reported 7 categories,06,1986-2014,,GEORGETOWN,CA ,95634,6530 WENTWORTH SPRINGS RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGIA BROWN ELEMENTARY,California,CA ,GEORGIA BROWN ELEMENTARY,060004807406,PASO ROBLES JOINT UNF,0600048,SAN LUIS OBISPO COUNTY,06079,Reported 7 categories,06,1997-2014,1986-1996,PASO ROBLES,CA ,93447,525 36TH ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGIA MORRIS ELEMENTARY,California,CA ,GEORGIA MORRIS ELEMENTARY,063237010020,RIALTO UNF,0632370,SAN BERNARDINO COUNTY,06071,Reported 7 categories,06,1990-2014,1986-1989,COLTON,CA ,92324,1900 W. RANDALL AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEORGINA P. BLACH JUNIOR HIGH,California,CA ,GEORGINA P. BLACH JUNIOR HIGH,062265002783,LOS ALTOS ELEM,0622650,SANTA CLARA COUNTY,06085,Reported 7 categories,06,1986-2014,,LOS ALTOS,CA ,94024,1120 COVINGTON RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GERALD A. SMITH ELEMENTARY,California,CA ,GERALD A. SMITH ELEMENTARY,060939008127,COLTON JOINT UNF,0609390,SAN BERNARDINO COUNTY,06071,Reported 7 categories,06,1986-2014,,BLOOMINGTON,CA ,92316,9551 LINDEN AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GERALD F. LITEL ELEMENTARY,California,CA ,GERALD F. LITEL ELEMENTARY,060846009124,CHINO VALLEY UNF,0608460,SAN BERNARDINO COUNTY,06071,Reported 7 categories,06,1987-2014,1986,CHINO HILLS,CA ,91709,3425 EUCALYPTUS AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GERALD P. CARR INTERMEDIATE,California,CA ,GERALD P. CARR INTERMEDIATE,063531005982,SANTA ANA UNF,0635310,ORANGE COUNTY,06059,Reported 7 categories,06,1986-2014,,SANTA ANA,CA ,92704,2120 W. EDINGER ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GERALD R. FORD ELEMENTARY,California,CA ,GERALD R. FORD ELEMENTARY,061111010274,DESERT SANDS UNF,0611110,RIVERSIDE COUNTY,06065,Reported 7 categories,06,1991-2014,1986-1990,INDIAN WELLS,CA ,92210,44-210 WARNER TRAIL,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GERBER COMMUNITY DAY,California,CA ,GERBER COMMUNITY DAY,061509008414,GERBER UNION ELEM,0615090,TEHAMA COUNTY,06103,Reported 7 categories,06,1999-2014,1986-1998,GERBER,CA ,96035,23014 CHARD AVE.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GERBER ELEMENTARY,California,CA ,GERBER ELEMENTARY,061509001904,GERBER UNION ELEM,0615090,TEHAMA COUNTY,06103,Reported 7 categories,06,1986-2014,,GERBER,CA ,96035,23014 CHARD AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GERBER JR./SR. HIGH,California,CA ,GERBER JR./SR. HIGH,069102712343,SACRAMENTO COUNTY OFFICE OF EDUCATION,0691027,SACRAMENTO COUNTY,06067,Reported 7 categories,06,2008-2014,1986-2007,SACRAMENTO,CA ,95828,8401 GERBER RD. STE. A,4-Alternative/other school,4-Regional Education Service Agency (RESA),1-Currently operational ,2-No
GERMAIN ACADEMY FOR ACADEMIC ACHIEVEMENT,California,CA ,GERMAIN ACADEMY FOR ACADEMIC ACHIEVEMENT,062271003041,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,CHATSWORTH,CA ,91311,20730 GERMAIN ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,1-Yes
GETTYSBURG ELEMENTARY,California,CA ,GETTYSBURG ELEMENTARY,060903009127,CLOVIS UNF,0609030,FRESNO COUNTY,06019,Reported 7 categories,06,1987-2014,1986,CLOVIS,CA ,93611,2100 GETTYSBURG AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEYSERVILLE EDUCATIONAL PARK HIGH,California,CA ,GEYSERVILLE EDUCATIONAL PARK HIGH,061515001906,GEYSERVILLE UNF,0615150,SONOMA COUNTY,06097,Reported 7 categories,06,1986-2014,,GEYSERVILLE,CA ,95441,1300 MOODY LN.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEYSERVILLE ELEMENTARY,California,CA ,GEYSERVILLE ELEMENTARY,061515001907,GEYSERVILLE UNF,0615150,SONOMA COUNTY,06097,Reported 7 categories,06,1986-2014,,GEYSERVILLE,CA ,95441,21485 GEYSERVILLE AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GEYSERVILLE MIDDLE,California,CA ,GEYSERVILLE MIDDLE,061515008143,GEYSERVILLE UNF,0615150,SONOMA COUNTY,06097,Reported 7 categories,06,1986-2014,,GEYSERVILLE,CA ,95441,1300 MOODY LN.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GIANNINI (A.P.) MIDDLE,California,CA ,GIANNINI (A.P.) MIDDLE,063441005580,SAN FRANCISCO UNF,0634410,SAN FRANCISCO COUNTY,06075,Reported 7 categories,06,1986-2014,,SAN FRANCISCO,CA ,94122,3151 ORTEGA ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GIANO INTERMEDIATE,California,CA ,GIANO INTERMEDIATE,063375005200,ROWLAND UNF,0633750,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,WEST COVINA,CA ,91792,3223 S. GIANO AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GIBSON ELEMENTARY,California,CA ,GIBSON ELEMENTARY,064308007002,WOODLAND JOINT UNF,0643080,YOLO COUNTY,06113,Reported 7 categories,06,1986-2014,,WOODLAND,CA ,95695,312 GIBSON RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GIBSON ELEMENTARY,California,CA ,GIBSON ELEMENTARY,061455001732,FRESNO UNF,0614550,FRESNO COUNTY,06019,Reported 7 categories,06,1986-2014,,FRESNO,CA ,93711,1266 W. BARSTOW AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GIDLEY ELEMENTARY,California,CA ,GIDLEY ELEMENTARY,061209001350,EL MONTE CITY ELEM,0612090,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,EL MONTE,CA ,91731,10226 E. LOWER AZUSA RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GIFFORD C. COLE MIDDLE,California,CA ,GIFFORD C. COLE MIDDLE,061191009533,EASTSIDE UNION ELEM,0611910,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1989-2014,1986-1988,LANCASTER,CA ,93535,3126 E. AVE. I,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GILBERT ELEMENTARY,California,CA ,GILBERT ELEMENTARY,061488001846,GARDEN GROVE UNF,0614880,ORANGE COUNTY,06059,Reported 7 categories,06,1986-2014,,GARDEN GROVE,CA ,92841,9551 ORANGEWOOD AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GILBERT HIGH (CONTINUATION),California,CA ,GILBERT HIGH (CONTINUATION),060263000174,ANAHEIM UNION HIGH,0602630,ORANGE COUNTY,06059,Reported 7 categories,06,1986-2014,,ANAHEIM,CA ,92804,1800 BALL RD.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GILROY HIGH,California,CA ,GILROY HIGH,061518001911,GILROY UNF,0615180,SANTA CLARA COUNTY,06085,Reported 7 categories,06,1986-2014,,GILROY,CA ,95020,750 W. TENTH ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GILROY PREP,California,CA ,GILROY PREP,061518012751,GILROY UNF,0615180,SANTA CLARA COUNTY,06085,Reported 7 categories,06,2010-2014,1986-2009,GILROY,CA ,95020,277 I O O F AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,1-Yes
GISLER (ROBERT) ELEMENTARY,California,CA ,GISLER (ROBERT) ELEMENTARY,061422001626,FOUNTAIN VALLEY ELEM,0614220,ORANGE COUNTY,06059,Reported 7 categories,06,1986-2014,,FOUNTAIN VALLEY,CA ,92708,18720 LAS FLORES ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GLACIER HIGH SCHOOL CHARTER,California,CA ,GLACIER HIGH SCHOOL CHARTER,060016010541,YOSEMITE UNF,0600160,MADERA COUNTY,06039,Reported 7 categories,06,2006-2014,1986-2005,OAKHURST,CA ,93644,41267 HIGHWAY 41,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,1-Yes
GLADSTONE ELEMENTARY,California,CA ,GLADSTONE ELEMENTARY,060561000508,BONITA UNF,0605610,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,SAN DIMAS,CA ,91773,1314 W. GLADSTONE,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GLADSTONE HIGH,California,CA ,GLADSTONE HIGH,060360000273,AZUSA UNF,0603600,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,COVINA,CA ,91722,1340 N. ENID,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GLADSTONE STREET ELEMENTARY,California,CA ,GLADSTONE STREET ELEMENTARY,060360000274,AZUSA UNF,0603600,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,AZUSA,CA ,91702,1040 E. GLADSTONE ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GLADYS POET-CHRISTIAN ELEMENTARY,California,CA ,GLADYS POET-CHRISTIAN ELEMENTARY,060004707398,TRACY JOINT UNF,0600047,SAN JOAQUIN COUNTY,06077,Reported 7 categories,06,1997-2014,1986-1996,TRACY,CA ,95376,1701 S. CENTRAL AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GLASSBROOK ELEMENTARY,California,CA ,GLASSBROOK ELEMENTARY,061674002114,HAYWARD UNF,0616740,ALAMEDA COUNTY,06001,Reported 7 categories,06,1986-2014,,HAYWARD,CA ,94544,975 SCHAFER RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GLASSELL PARK ELEMENTARY,California,CA ,GLASSELL PARK ELEMENTARY,062271003042,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,LOS ANGELES,CA ,90065,2211 W. AVE. 30,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
